CTUID,Total,No Major Repairs Needed,Major Repairs Needed,pGoodCondition
5370000,293345,274975,18370,0.937377491
5370001.01,760,725,35,0.953947368
5370001.02,1755,1690,70,0.962962963
5370001.04,1900,1845,50,0.971052632
5370001.05,1605,1565,45,0.975077882
5370001.06,1605,1550,60,0.965732087
5370001.07,1270,1190,85,0.937007874
5370001.08,2050,2015,35,0.982926829
5370001.09,1390,1365,25,0.982014388
5370002.01,1625,1555,65,0.956923077
5370002.03,1055,955,95,0.90521327
5370002.04,1575,1495,75,0.949206349
5370002.05,2325,2275,55,0.978494624
5370002.06,1390,1375,15,0.989208633
5370003.01,1965,1870,95,0.951653944
5370003.02,1310,1245,65,0.950381679
5370003.03,1075,990,90,0.920930233
5370003.04,2270,2100,165,0.925110132
5370004.01,1415,1260,155,0.890459364
5370004.02,1635,1515,115,0.926605505
5370005.01,2340,2150,185,0.918803419
5370005.02,1410,1290,120,0.914893617
5370005.03,1540,1465,70,0.951298701
5370006,2045,1880,165,0.919315403
5370007,1590,1490,105,0.937106918
5370008,1090,1005,85,0.922018349
5370009,1420,1340,85,0.943661972
5370010,1345,1290,60,0.959107807
5370011,925,870,60,0.940540541
5370012,585,545,40,0.931623932
5370013,1060,995,60,0.938679245
5370014,1025,945,80,0.92195122
5370015,750,730,25,0.973333333
5370016,180,180,0,1
5370017,1380,1285,95,0.93115942
5370018,,,,#DIV/0!
5370019,1730,1595,130,0.921965318
5370020,1720,1590,130,0.924418605
5370021,1985,1775,210,0.894206549
5370022,2370,2220,155,0.936708861
5370023,935,875,65,0.935828877
5370024,1115,1075,40,0.964125561
5370025,1120,1060,65,0.946428571
5370026.01,1640,1510,130,0.920731707
5370026.02,910,860,50,0.945054945
5370026.03,715,695,20,0.972027972
5370026.04,635,615,15,0.968503937
5370026.05,1705,1545,160,0.906158358
5370026.06,2060,1880,185,0.912621359
5370027,490,460,30,0.93877551
5370028,1220,1105,120,0.905737705
5370029,2025,1790,230,0.883950617
5370030,1630,1505,125,0.923312883
5370031,840,745,90,0.886904762
5370032,1470,1330,135,0.904761905
5370033,1305,1150,155,0.881226054
5370034,2965,2665,305,0.898819562
5370035,1820,1645,175,0.903846154
5370036,1425,1315,110,0.922807018
5370037,1940,1725,220,0.889175258
5370038,2665,2435,230,0.91369606
5370039,3065,2715,350,0.885807504
5370040,1035,995,45,0.961352657
5370041,1080,955,120,0.884259259
5370042,1235,1120,110,0.906882591
5370043,1490,1375,115,0.922818792
5370044,2335,2100,235,0.899357602
5370045,1160,1075,85,0.926724138
5370046,1380,1275,105,0.923913043
5370047,1695,1575,120,0.92920354
5370048,880,790,85,0.897727273
5370049,1175,1000,180,0.85106383
5370050,1750,1470,280,0.84
5370051,1975,1725,250,0.873417722
5370052,1585,1315,270,0.829652997
5370053,1285,1090,190,0.848249027
5370054,1160,990,175,0.853448276
5370055,1275,1120,155,0.878431373
5370056,1400,1250,150,0.892857143
5370057,1320,1165,150,0.882575758
5370058,1045,860,185,0.822966507
5370059,1260,1085,175,0.861111111
5370060,1055,895,160,0.848341232
5370061,1110,910,200,0.81981982
5370062,1355,1205,150,0.889298893
5370063,1105,965,135,0.873303167
5370064,755,680,75,0.900662252
5370065,960,875,80,0.911458333
5370066,2055,1805,255,0.878345499
5370067,635,470,170,0.74015748
5370068,400,335,65,0.8375
5370069,395,370,30,0.936708861
5370070,890,795,90,0.893258427
5370071,2715,2380,340,0.876611418
5370072.01,45,45,0,1
5370072.02,1770,1630,140,0.920903955
5370072.03,2735,2335,395,0.853747715
5370072.04,1245,1195,50,0.959839357
5370073,555,520,35,0.936936937
5370080.01,775,720,50,0.929032258
5370080.03,2165,2110,50,0.974595843
5370080.05,2120,2050,65,0.966981132
5370080.06,1650,1580,70,0.957575758
5370080.07,985,955,30,0.969543147
5370081,1065,1005,60,0.943661972
5370082,1700,1555,140,0.914705882
5370083,1165,1045,120,0.896995708
5370084.01,980,900,80,0.918367347
5370084.02,1250,1180,70,0.944
5370084.03,765,730,35,0.954248366
5370084.04,945,895,45,0.947089947
5370084.05,1030,970,60,0.941747573
5370085.01,1430,1395,35,0.975524476
5370085.02,2230,2155,75,0.966367713
5370085.03,1570,1520,55,0.968152866
5370086,3180,3075,105,0.966981132
5370100.01,3150,3100,45,0.984126984
5370100.02,2670,2585,85,0.968164794
5370101.01,3230,3170,60,0.981424149
5370101.02,1515,1410,105,0.930693069
5370120.02,685,610,75,0.890510949
5370120.03,2180,2145,35,0.983944954
5370120.04,1850,1830,25,0.989189189
5370121,625,575,50,0.92
5370122.01,1975,1930,45,0.97721519
5370122.02,2295,2225,65,0.969498911
5370123,2685,2580,105,0.960893855
5370124,1275,1220,60,0.956862745
5370130.02,1535,1480,50,0.964169381
5370130.03,1330,1275,50,0.958646617
5370131,1885,1775,110,0.941644562
5370132,1550,1445,100,0.932258065
5370133.01,1180,1160,15,0.983050847
5370133.02,2505,2370,140,0.946107784
5370140.02,3045,2920,130,0.958949097
5370140.03,2505,2455,50,0.98003992
5370140.04,1320,1295,25,0.981060606
5370141,1475,1395,75,0.945762712
5370142.01,1330,1235,100,0.928571429
5370142.02,1620,1585,40,0.978395062
5370143,1345,1250,95,0.92936803
5370144.01,1750,1675,75,0.957142857
5370144.02,610,585,20,0.959016393
5370200,980,920,55,0.93877551
5370201,1355,1305,50,0.963099631
5370202,2900,2815,85,0.970689655
5370203,1130,1100,35,0.973451327
5370204,2070,1935,145,0.934782609
5370205.01,1350,1310,40,0.97037037
5370205.02,2925,2785,135,0.952136752
5370206,1990,1835,150,0.922110553
5370207.01,2430,2290,135,0.942386831
5370207.02,2035,1960,75,0.963144963
5370207.03,1430,1380,40,0.965034965
5370207.04,1140,1085,50,0.951754386
5370208,1240,1165,70,0.939516129
5370209,625,585,40,0.936
5370210,930,860,70,0.924731183
5370211,1255,1200,60,0.956175299
5370212,770,715,55,0.928571429
5370213,2035,1900,135,0.933660934
5370214,1205,1095,110,0.908713693
5370215,1245,1130,110,0.907630522
5370216,1475,1410,60,0.955932203
5370217.01,2445,2225,220,0.91002045
5370217.02,1365,1315,50,0.963369963
5370218,2690,2585,100,0.960966543
5370219,1580,1525,55,0.965189873
5370220,2545,2370,175,0.931237721
5370221,1185,1130,55,0.953586498
5370222.01,,,,#DIV/0!
5370222.02,1750,1655,95,0.945714286
5370222.03,1585,1540,45,0.971608833
5370223.01,985,920,60,0.934010152
5370223.02,1725,1650,80,0.956521739
5370223.05,985,945,40,0.959390863
5370223.06,1305,1270,35,0.973180077
5370223.07,1710,1635,70,0.956140351
5370223.09,2685,2655,35,0.988826816
5370223.1,1580,1575,10,0.996835443
5370223.12,3590,3450,135,0.961002786
5370223.13,1620,1580,40,0.975308642
5370223.14,1440,1435,10,0.996527778
5370223.15,860,840,20,0.976744186
5370223.16,815,800,15,0.981595092
5370224.01,3125,3120,10,0.9984
5370224.02,1295,1225,75,0.945945946
5370300,730,685,45,0.938356164
5370301,2855,2785,70,0.975481611
5370302,2425,2250,180,0.927835052
5370303.01,1440,1380,65,0.958333333
5370303.02,2925,2865,65,0.979487179
